prompt_id,prompt,continuation_text,token_idx,token_id,token_str,p_a,p_b,ratio_pA_over_pB
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",0,407, not,0.08403671730721422,0.03800154399854054,2.2114027080173817
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",1,655, just,0.024198234544282143,0.02931606282901712,0.8254257976391927
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",2,284, to,0.30781736462734516,0.10803821505959191,2.849152630460978
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",3,1104, support,0.009529670775481457,0.008482730072002112,1.1234202543983867
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",4,262, the,0.13346464893015758,0.10916065448857461,1.2226442719260793
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",5,1919, social,0.019848829081683308,0.003924048826747736,5.058252319998291
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",6,2775, contract,0.03680260208322162,0.013368065740138841,2.7530237207555346
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",7,475, but,0.3113195370714815,0.16669344754867857,1.8676171238258699
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",8,635, also,0.397581658180834,0.4450658369321485,0.8933097649583165
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",9,355, as,0.01321585790064637,0.01619962845978238,0.815812407886786
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",10,257, a,0.6680237417270785,0.4302539187106798,1.5526267459199707
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",11,1724, means,0.2417109729464831,0.08957193000655758,2.6985125019499683
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",12,284, to,0.29119315674204377,0.360684111591649,0.8073356917693124
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",13,7719, promote,0.026106797724977066,0.014359927137464194,1.8180313503726622
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",14,290, and,0.06301332511166997,0.02076910861505471,3.0339927572045196
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",15,5963, advance,0.014060012418658509,0.005579027894138605,2.5201545296861
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",16,663, its,0.01537875222551934,0.009608416437504885,1.6005501349307563
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",17,2478, development,0.20385417086183472,0.025718753148005553,7.926285138657403
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",18,13,.,0.6050393804396564,0.6256737429537992,0.967020571429563
0,The role of large language models in modern society is," not just to support the social contract but also as a means to promote and advance its development.
",19,198,"
",0.16869984009622632,0.07808094369904339,2.1605763468544392
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",0,326, that,0.5903420774835141,0.7334398286644663,0.804895036254683
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",1,484, they,0.46278925847079283,0.5193465710493819,0.8910990931078828
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",2,389, are,0.13371843527643806,0.22585440053571174,0.592055921687896
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",3,1498, able,0.21666136797312963,0.11467943038780612,1.8892783757336074
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",4,284, to,0.9952423320826426,0.9973821211753444,0.997854594495658
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",5,8006, capture,0.013021063021283228,0.007367070583354446,1.7674682051647115
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",6,1321, information,0.1367582898137765,0.08872504462020507,1.5413718910954817
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",7,422, from,0.1492852168193157,0.2458263673465195,0.6072791069189158
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",8,584, other,0.03468028364660564,0.005842651883287458,5.935709390081316
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",9,3341, systems,0.03986943379435748,0.03846202760612825,1.0365920955244956
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",10,290, and,0.10476182429113719,0.08157104676367628,1.284301580616565
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",11,788, then,0.08603828775361635,0.06805645173805887,1.2642194172092225
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",12,779, use,0.061489656293180095,0.08666187933478343,0.7095352277745957
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",13,428, this,0.0967294508257771,0.1977052727757741,0.48926085514917983
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",14,1366, data,0.018980030734039796,0.03867220908301856,0.4907925144202367
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",15,355, as,0.017082255863242406,0.009162099879794473,1.8644476798287863
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",16,262, the,0.06555297599721495,0.044385987881748426,1.4768844656980231
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",17,4308, basis,0.6815653387651356,0.7675887398691958,0.8879303504130096
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",18,329, for,0.8391330181465425,0.7875609707905147,1.065483244178876
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",19,649, new,0.030140682139958474,0.053803401206534394,0.5602003119516151
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",20,17218, insights,0.019278260849083448,0.008561189256136114,2.2518204273157516
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",21,13,.,0.5507161908375425,0.7175383958373758,0.7675076261178333
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",22,770, This,0.14039614650588986,0.13859913032293056,1.012965566080915
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",23,1724, means,0.039880690029716274,0.0592596498893546,0.6729822080315807
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",24,356, we,0.019974732827153795,0.013786213231112857,1.4488919105120637
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",25,460, can,0.6498466163710437,0.5494628742392944,1.1826943126425529
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",26,13249, infer,0.008666766206125403,0.004387514999865032,1.9753245758457822
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",27,1728, certain,0.004002439874254202,0.010748485096147137,0.37237246351012776
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",28,10906, outcomes,0.00945445981139707,0.0033971732436099446,2.783037288186828
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",29,1912, based,0.050405274613767384,0.055314546265989736,0.9112480896324223
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",30,319, on,0.9458158281608524,0.9326331424036067,1.0141349102427037
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",31,674, our,0.10413830892325389,0.014945403305175247,6.967915605676108
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",32,898, own,0.06707807107761439,0.12503296500031635,0.5364830872997748
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",33,6461, experiences,0.041247010897105786,0.029136377673229394,1.4156533581387394
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",34,2138, rather,0.024210947669745363,0.015178927867836674,1.5950367430790058
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",35,621, than,0.9965454881303825,0.9976344172063613,0.998908488864059
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",36,17965, relying,0.23600768068230535,0.20116190342126106,1.1732225469554858
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",37,319, on,0.9210309446674552,0.8228891790066661,1.119264863561894
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",38,1854, others,0.014288073420162828,0.009280630591931554,1.5395584684282846
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",39,6,',0.4093346620935925,0.35767299415782033,1.1444382684172594
1,"In machine learning, a surprising property of neural networks is"," that they are able to capture information from other systems and then use this data as the basis for new insights. This means we can infer certain outcomes based on our own experiences rather than relying on others' predictions about how things might turn out in practice.""
— Stephen Hawking (1929-2001)",40,16277, predictions,0.07910022827123885,0.0098414435365596,8.037461981811148
